Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Jelle Van Damme,Royal Antwerp FC,Belgium Pro League,Belgium,34,190,89
Geoffry Hairemans,Royal Antwerp FC,Belgium Pro League,Belgium,26,183,76
William Owusu,Royal Antwerp FC,Belgium Pro League,Ghana,29,186,74
Faris Haroun,Royal Antwerp FC,Belgium Pro League,Belgium,33,188,75
Amara Baby,Royal Antwerp FC,Belgium Pro League,Senegal,29,183,80
Jean Cleber Santos da Silva,CS Marítimo,Liga NOS,Brazil,28,180,80
Ali Turan,Atiker Konyaspor,Süper Lig,Turkey,35,186,81
Eren Albayrak,Atiker Konyaspor,Süper Lig,Turkey,27,179,69
Moryke Fofana,Atiker Konyaspor,Süper Lig,Côte d'Ivoire,26,178,71
Alexis Soto,Racing Club,SAF,Argentina,24,177,71
Gabriel Arias,Racing Club,SAF,Chile,31,187,91
Gerardo Alcoba,Santos Laguna,LIGA Bancomer MX,Uruguay,33,183,83
Javier Abella,Santos Laguna,LIGA Bancomer MX,Mexico,24,176,74
Jesús Isijara,Santos Laguna,LIGA Bancomer MX,Mexico,29,180,76
Johan Kappelhof,Chicago Fire Soccer Club,Major League Soccer,Holland,28,180,73
Henok Goitom,AIK,Allsvenskan,Eritrea,34,189,85
Enock Kofi Adu,AIK,Allsvenskan,Ghana,28,178,67
Alexander Miloevic,AIK,Allsvenskan,Sweden,26,191,82
Thomas Bruns,Vitesse,Eredivisie,Holland,26,177,72
Roy Beerens,Vitesse,Eredivisie,Holland,30,173,63
Niall McGinn,Aberdeen,Scottish Premiership,Northern Ireland,31,178,73
Ebenezer Ofori,New York City FC,Major League Soccer,Ghana,23,172,70
Ismael Tajouri-Shradi,New York City FC,Major League Soccer,Libya,24,170,69
Alexander Callens,New York City FC,Major League Soccer,Peru,26,186,76
Eloi Amagat Arimany,New York City FC,Major League Soccer,Spain,33,183,72
Ronald Matarrita,New York City FC,Major League Soccer,Costa Rica,24,175,70
Anton Tinnerholm,New York City FC,Major League Soccer,Sweden,27,176,75
Maxime Chanot,New York City FC,Major League Soccer,Luxembourg,28,186,84
Jean-Pierre Nsamé,BSC Young Boys,Raiffeisen Super League,Cameroon,25,188,88
Andreas Isaksson,Djurgårdens IF,Allsvenskan,Sweden,37,196,77
Kerim Mrabti,Djurgårdens IF,Allsvenskan,Sweden,24,175,75
Óscar Cabezas,Rosario Central,SAF,Colombia,21,180,79
Gonzalo Bettini,Rosario Central,SAF,Argentina,26,171,74
Néstor Ortigoza,Rosario Central,SAF,Paraguay,33,180,78
Manuel Barreiro Bustelo,Nàstic,LaLiga 1 I 2 I 3,Spain,32,191,81
Adlène Guédioura,Nottingham Forest,EFL Championship,Algeria,32,178,81
Tobias Pereira Figueiredo,Nottingham Forest,EFL Championship,Portugal,24,188,84
Liam Bridcutt,Nottingham Forest,EFL Championship,Scotland,29,175,76
Costel Pantilimon,Nottingham Forest,EFL Championship,Romania,31,203,96
Enrico Valentini,1. FC Nürnberg,Bundesliga,Germany,29,182,78
Julien De Sart,Middlesbrough,EFL Championship,Belgium,23,186,73
Rudy Gestede,Middlesbrough,EFL Championship,Benin,29,193,86
Ryan Shotton,Middlesbrough,EFL Championship,England,30,191,84
Darren Randolph,Middlesbrough,EFL Championship,Republic of Ireland,31,188,78
George Friend,Middlesbrough,EFL Championship,England,30,188,83
José Ignacio Martínez García,R. Valladolid CF,LaLiga Santander,Spain,29,175,76
Borja Fernández Fernández,R. Valladolid CF,LaLiga Santander,Spain,37,189,82
Antonio Jesús Regal Angulo,R. Valladolid CF,LaLiga Santander,Spain,30,174,64
Jordan Obita,Reading,EFL Championship,England,24,180,74
Paul McShane,Reading,EFL Championship,Republic of Ireland,32,183,81
Sebastian Andersson,1. FC Union Berlin,Bundesliga 2,Sweden,27,190,85
Florian Hübner,1. FC Union Berlin,Bundesliga 2,Germany,27,193,84
Suleiman Abdullahi,1. FC Union Berlin,Bundesliga 2,Nigeria,21,185,86
Akaki Gogia,1. FC Union Berlin,Bundesliga 2,Germany,26,178,72
José Guerrero,Puebla,LIGA Bancomer MX,Mexico,30,175,75
Dario Dumic,SG Dynamo Dresden,Bundesliga 2,Bosnia and Herzegovina,26,193,85
Philip Heise,SG Dynamo Dresden,Bundesliga 2,Germany,27,184,78
Brian Hamalainen,SG Dynamo Dresden,Bundesliga 2,Denmark,29,178,80
Marco Hartmann,SG Dynamo Dresden,Bundesliga 2,Germany,30,194,94
Patrick Ebert,SG Dynamo Dresden,Bundesliga 2,Germany,31,176,78
Collins Fai,Standard de Liège,Belgium Pro League,Cameroon,26,167,72
Carlos Vinícius Santos de Jesús,Standard de Liège,Belgium Pro League,Brazil,24,180,75
Luis Pedro Cavanda,Standard de Liège,Belgium Pro League,Belgium,27,180,76
Adama Niane,ESTAC Troyes,Dominos Ligue 2,Mali,25,182,70
Aleksandar Bjelica,KV Oostende,Belgium Pro League,Serbia,24,184,81
Fernando Canesín Matos,KV Oostende,Belgium Pro League,Brazil,26,176,72
Peter Ankersen,FC København,Superliga,Denmark,28,179,75
Jonathan Spector,Orlando City Soccer Club,Major League Soccer,United States,32,182,80
Graham Dorrans,Rangers FC,Scottish Premiership,Scotland,31,179,78
Rodrigo Defendi,Desportivo Aves,Liga NOS,Brazil,32,190,83
Vitor Hugo Gomes da Silva,Desportivo Aves,Liga NOS,Portugal,30,183,81
Diego Fortunato dos Santos Queiroz,Desportivo Aves,Liga NOS,Brazil,34,185,80
Bruno Manuel Araújo Braga,Desportivo Aves,Liga NOS,Portugal,35,181,75
Amilton Minervino da Silva,Desportivo Aves,Liga NOS,Brazil,29,172,66
Nélson Ricardo Rodrigues Lenho,Desportivo Aves,Liga NOS,Portugal,34,178,71
Rilwan Hassan,FC Midtjylland,Superliga,Nigeria,27,172,64
Marc Dal Hende,FC Midtjylland,Superliga,Denmark,27,179,75
Nabil Ghilas,Göztepe SK,Süper Lig,Algeria,28,183,85
Ricardo Martins de Araújo,Göztepe SK,Süper Lig,Brazil,32,189,80
Cyriac Gohi Bi Zoro,Sivasspor,Süper Lig,Côte d'Ivoire,28,172,75
Mattias Bjärsmyr,Sivasspor,Süper Lig,Sweden,32,186,82
Patricio Toranzo,Club Atlético Huracán,SAF,Argentina,36,178,73
Juan Garro,Club Atlético Huracán,SAF,Argentina,25,179,71
Farid Boulaya,Football Club de Metz,Dominos Ligue 2,Algeria,25,179,70
Alexandre Oukidja,Football Club de Metz,Dominos Ligue 2,France,30,184,79
John Boye,Football Club de Metz,Dominos Ligue 2,Ghana,31,184,73
Laurent Jans,Football Club de Metz,Dominos Ligue 2,Luxembourg,26,178,76
Habib Diallo,Football Club de Metz,Dominos Ligue 2,Senegal,23,186,79
Bryan Acosta,CD Tenerife,LaLiga 1 I 2 I 3,Honduras,24,175,73
Francisco Montañés Claverías,CD Tenerife,LaLiga 1 I 2 I 3,Spain,31,172,73
Alexander Mesa Travieso,CD Tenerife,LaLiga 1 I 2 I 3,Spain,23,173,71
Alberto Brignoli,Palermo,Calcio B,Italy,27,187,74
Carlos Miguel Ribeiro Dias,Legia Warszawa,Ekstraklasa,Portugal,25,183,84
Daniel Rosero Valencia,Deportivo Cali,Liga Dimayor,Colombia,25,181,81
Didier Delgado,Deportivo Cali,Liga Dimayor,Colombia,26,185,70
Kevin Balanta,Deportivo Cali,Liga Dimayor,Colombia,21,179,73
Darwin Andrade,Deportivo Cali,Liga Dimayor,Colombia,27,173,70
Kevin Müller,1. FC Heidenheim 1846,Bundesliga 2,Germany,27,190,90
Bilal Kisa,Akhisar Belediyespor,Süper Lig,Turkey,35,180,70
Paulo Henrique Carneiro Filho,Akhisar Belediyespor,Süper Lig,Brazil,29,185,80
Mustafa Yumlu,Akhisar Belediyespor,Süper Lig,Turkey,31,191,77
Sérgio Antônio Borges Júnior,Akhisar Belediyespor,Süper Lig,Brazil,32,178,70
Dany Nounkeu,Akhisar Belediyespor,Süper Lig,Cameroon,32,184,80
Kingsley Schindler,Holstein Kiel,Bundesliga 2,Ghana,25,183,80
Joel Castro Pereira,Vitória Setúbal,Liga NOS,Portugal,22,188,70
Luís Miguel Lopes Mendes,Vitória Setúbal,Liga NOS,Portugal,31,170,67
Nuno Miguel Pereira Reis,Vitória Setúbal,Liga NOS,Portugal,27,182,76
Sean Davis,New York Red Bulls,Major League Soccer,United States,25,183,75
Graham Zusi,Sporting Kansas City,Major League Soccer,United States,32,178,72
Samir Memievic,FC Groningen,Eredivisie,Bosnia and Herzegovina,25,185,77
Mike te Wierik,FC Groningen,Eredivisie,Holland,26,191,73
Brayan Garnica,Club Atlas,LIGA Bancomer MX,Mexico,22,167,56
Clifford Aboagye,Club Atlas,LIGA Bancomer MX,Ghana,23,163,55
Miguel Samudio,Querétaro,LIGA Bancomer MX,Paraguay,32,172,74
Adrian Stoian,Crotone,Calcio B,Romania,27,178,66
David Ousted,D.C. United,Major League Soccer,Denmark,33,192,88
Zoltán Stieber,D.C. United,Major League Soccer,Hungary,29,175,67
Shkëlzen Gashi,Colorado Rapids,Major League Soccer,Albania,30,182,75
Ben Rienstra,SC Heerenveen,Eredivisie,Holland,28,182,67
Kamohelo Mokotjo,Brentford,EFL Championship,South Africa,27,175,72
Atsuto Uchida,Kashima Antlers,Meiji Yasuda J1 League,Japan,30,176,70
Neal Maupay,Brentford,EFL Championship,France,22,171,69
Seung Hyeon Jeong,Kashima Antlers,Meiji Yasuda J1 League,Korea Republic,24,188,89
Romaine Sawyers,Brentford,EFL Championship,St. Kitts and Nevis,26,185,67
Sun Tae Kwoun,Kashima Antlers,Meiji Yasuda J1 League,Korea Republic,34,184,85
Henrik Dalsgaard,Brentford,EFL Championship,Denmark,29,192,81
Omar Hawsawi,Al Nassr,Saudi Professional League,Saudi Arabia,33,185,76
Nicolò Brighenti,Frosinone,Serie A TIM,Italy,29,178,75
Bartosz Salamon,Frosinone,Serie A TIM,Poland,27,196,89
Yussif Raman Chibsah,Frosinone,Serie A TIM,Ghana,25,177,78
Marco Capuano,Frosinone,Serie A TIM,Italy,26,186,80
Luka Krajnc,Frosinone,Serie A TIM,Slovenia,24,187,86
Arturo Mina,Evkur Yeni Malatyaspor,Süper Lig,Ecuador,27,190,84
Mads Albæk,1. FC Kaiserslautern,3. Liga,Denmark,28,185,77
Moses Odubajo,Brentford,EFL Championship,England,25,177,72
Simone Grippo,R. Zaragoza,LaLiga 1 I 2 I 3,Switzerland,29,188,82
Jorge Marcos Pombo Escobar,R. Zaragoza,LaLiga 1 I 2 I 3,Spain,24,173,78
Osvaldo González,Deportivo Toluca,LIGA Bancomer MX,Chile,34,182,79
Alberto Benito Correo,R. Zaragoza,LaLiga 1 I 2 I 3,Spain,26,177,68
Elvis Perlaza,Independiente Medellín,Liga Dimayor,Colombia,29,173,72
Andrés Ricaurte,Independiente Medellín,Liga Dimayor,Colombia,27,182,70
Lindsay Rose,FC Lorient,Dominos Ligue 2,Mauritius,26,186,88
Alex Wilkinson,Sydney FC,Hyundai A-League,Australia,34,187,85
Augusto Batalla,Club Atlético Tigre,SAF,Argentina,22,185,79
Jorge Ortiz,Club Atlético Tigre,SAF,Argentina,34,180,74
Hernán Menosse,Belgrano de Córdoba,SAF,Uruguay,31,185,77
Lucas Acosta,Belgrano de Córdoba,SAF,Argentina,23,187,84
Federico Lértora,Belgrano de Córdoba,SAF,Argentina,28,176,73
Rachid Alioui,Nîmes Olympique,Ligue 1 Conforama,Morocco,26,186,82
Umut Bozok,Nîmes Olympique,Ligue 1 Conforama,France,22,178,75
Anthony Briançon,Nîmes Olympique,Ligue 1 Conforama,France,23,185,79
Mariano Pavone,Estudiantes de La Plata,SAF,Argentina,36,181,81
Hotaru Yamaguchi,Cerezo Osaka,Meiji Yasuda J1 League,Japan,28,173,72
Matej Jonjic,Cerezo Osaka,Meiji Yasuda J1 League,Croatia,27,187,83
Osmar Ibañez Barba,Cerezo Osaka,Meiji Yasuda J1 League,Spain,30,192,89
Josh Risdon,Western Sydney Wanderers,Hyundai A-League,Australia,26,169,70
Josh Scowen,Queens Park Rangers,EFL Championship,England,25,178,74
Tomer Hemed,Queens Park Rangers,EFL Championship,Israel,31,186,80
Joe Bennett,Cardiff City,Premier League,England,28,178,74
Nathaniel Mendez-Laing,Cardiff City,Premier League,England,26,180,75
Lee Tomlin,Cardiff City,Premier League,England,29,180,74
Callum Paterson,Cardiff City,Premier League,Scotland,23,187,76
Jon Ander Garrido Moracia,Cádiz CF,LaLiga 1 I 2 I 3,Spain,28,185,81
David Accam,Philadelphia Union,Major League Soccer,Ghana,28,174,79
Dejan Lekic,Cádiz CF,LaLiga 1 I 2 I 3,Serbia,33,193,88
Jonas Knudsen,Ipswich Town,EFL Championship,Denmark,26,185,82
Luke Chambers,Ipswich Town,EFL Championship,England,33,185,87
Stéphane Sparagna,Boavista FC,Liga NOS,France,23,186,82
Rui Filipe Caetano Moura,Boavista FC,Liga NOS,Portugal,25,177,74
Mateus Galiano da Costa,Boavista FC,Liga NOS,Angola,34,176,75
Eduardo José Borges Machado,Boavista FC,Liga NOS,Portugal,28,175,67
Hannes Van Der Bruggen,KV Kortrijk,Belgium Pro League,Belgium,25,180,74
Ilombe Mboyo,KV Kortrijk,Belgium Pro League,Belgium,31,186,82
Jesus Olmo Lozano,CF Reus,LaLiga 1 I 2 I 3,Spain,33,179,82
Sung Ryong Jung,Kawasaki Frontale,Meiji Yasuda J1 League,Korea Republic,33,191,90
Elson Ferreira de Souza,Kawasaki Frontale,Meiji Yasuda J1 League,Brazil,28,180,78
Mark Beevers,Bolton Wanderers,EFL Championship,England,28,193,80
Sammy Ameobi,Bolton Wanderers,EFL Championship,England,26,194,78
Rémy Riou,Sporting Charleroi,Belgium Pro League,France,31,189,81
Marco Ilaimaharitra,Sporting Charleroi,Belgium Pro League,Madagascar,23,177,79
Sean Maguire,Preston North End,EFL Championship,Republic of Ireland,24,175,68
Tom Barkhuizen,Preston North End,EFL Championship,England,25,175,70
Paul Huntington,Preston North End,EFL Championship,England,31,191,80
Darnell Fisher,Preston North End,EFL Championship,England,24,175,70
Declan Rudd,Preston North End,EFL Championship,England,27,191,85
Tom Clarke,Preston North End,EFL Championship,England,30,180,77
Fabian Schnellhardt,MSV Duisburg,Bundesliga 2,Germany,24,180,75
Lukas Fröde,MSV Duisburg,Bundesliga 2,Germany,23,192,85
Moritz Stoppelkamp,MSV Duisburg,Bundesliga 2,Germany,31,180,75
Andreas Weimann,Bristol City,EFL Championship,Austria,27,178,76
Josh Brownhill,Bristol City,EFL Championship,England,22,178,69
Jamie Paterson,Bristol City,EFL Championship,England,26,175,67
Eros Pisano,Bristol City,EFL Championship,Italy,31,185,83
Thomas Buffel,SV Zulte-Waregem,Belgium Pro League,Belgium,37,176,70
Mamadou Sylla,SV Zulte-Waregem,Belgium Pro League,Senegal,24,176,75
Damien Marcq,SV Zulte-Waregem,Belgium Pro League,France,29,182,77
Daniel Toribio Gutiérrez,AD Alcorcón,LaLiga 1 I 2 I 3,Spain,30,172,71
Albert Dorca Maso,AD Alcorcón,LaLiga 1 I 2 I 3,Spain,35,182,77
Fabian Klos,DSC Arminia Bielefeld,Bundesliga 2,Germany,30,194,93
Robert Tesche,VfL Bochum 1848,Bundesliga 2,Germany,31,180,71
Tim Hoogland,VfL Bochum 1848,Bundesliga 2,Germany,33,183,80
Juan Cabezas,Houston Dynamo,Major League Soccer,Colombia,27,182,79
Jun Ho Son,Jeonbuk Hyundai Motors,K LEAGUE Classic,Korea Republic,26,178,62
Tiago Alves Sales,Jeonbuk Hyundai Motors,K LEAGUE Classic,Brazil,25,181,72
Carlos Adriano de Souza Cruz,Jeonbuk Hyundai Motors,K LEAGUE Classic,Brazil,31,170,64
Joaquín Arzura,UD Almería,LaLiga 1 I 2 I 3,Argentina,25,176,71
Luigi Bruins,Excelsior,Eredivisie,Holland,31,180,75
Kristoffer Peterson,Heracles Almelo,Eredivisie,Sweden,23,185,79
Avimiled Rivas,América de Cali,Liga Dimayor,Colombia,33,181,73
Héctor Quiñones,América de Cali,Liga Dimayor,Colombia,26,178,70
Pedro Franco,América de Cali,Liga Dimayor,Colombia,27,183,73
Jair Palacios,Millonarios FC,Liga Dimayor,Colombia,28,178,72
Roberto Ovelar,Millonarios FC,Liga Dimayor,Paraguay,32,180,81
Andrés Cadavid,Millonarios FC,Liga Dimayor,Colombia,32,188,87
Cristian Menéndez,Tiburones Rojos de Veracruz,LIGA Bancomer MX,Argentina,30,185,80
Luigi Vitale,Salerno,Calcio B,Italy,31,180,71
Raffaele Pucino,Salerno,Calcio B,Italy,27,183,74
Juan Carlos Martín Corral,CD Lugo,LaLiga 1 I 2 I 3,Spain,30,187,82
Antonio Campillo Medina,CD Lugo,LaLiga 1 I 2 I 3,Spain,27,176,70
Cristian Herrera Pérez,CD Lugo,LaLiga 1 I 2 I 3,Spain,27,189,85
Iriome González González,CD Lugo,LaLiga 1 I 2 I 3,Spain,31,185,79
Jorge Miramón,SD Huesca,LaLiga Santander,Spain,29,176,74
Jorge Pulido Mayoral,SD Huesca,LaLiga Santander,Spain,27,185,78
Carlos Akapo Martínez,SD Huesca,LaLiga Santander,Equatorial Guinea,25,178,70
Alejandro Gallar Falguero,SD Huesca,LaLiga Santander,Spain,26,176,71
Lluís Sastre Reus,SD Huesca,LaLiga Santander,Spain,32,174,70
Walid Mesloub,Racing Club de Lens,Dominos Ligue 2,Algeria,33,180,69
Gennaro Scognamiglio,Pescara,Calcio B,Italy,31,186,78
Gaston Brugman,Pescara,Calcio B,Uruguay,26,175,66
Vincenzo Fiorillo,Pescara,Calcio B,Italy,28,190,79
Ledian Memushaj,Pescara,Calcio B,Albania,31,174,70
Guillermo Fernández Hierro,CD Numancia,LaLiga 1 I 2 I 3,Spain,25,181,74
Unai Medina Pérez,CD Numancia,LaLiga 1 I 2 I 3,Spain,28,177,78
Alberto Escassi Oliva,CD Numancia,LaLiga 1 I 2 I 3,Spain,29,185,78
Daniel Calvo Sanromán,CD Numancia,LaLiga 1 I 2 I 3,Spain,24,190,82
Chang Min Lee,Jeju United FC,K LEAGUE Classic,Korea Republic,24,178,74
Roman Zozulya,Albacete Bpie,LaLiga 1 I 2 I 3,Ukraine,28,180,62
Elvis Manuel Monteiro Macedo,CD Feirense,Liga NOS,Cape Verde Islands,33,180,74
Fábio Miguel Santos Sturgeon,CD Feirense,Liga NOS,Portugal,24,183,76
Ewerton da Silva Pereira,Portimonense SC,Liga NOS,Brazil,25,179,69
Alexandr Zhirov,SV Sandhausen,Bundesliga 2,Russia,27,193,88
Gustav Valsvik,Eintracht Braunschweig,3. Liga,Norway,25,196,91
Tim Knipping,SV Sandhausen,Bundesliga 2,Germany,25,189,82
Leart Paqarada,SV Sandhausen,Bundesliga 2,Kosovo,23,184,76
Diego Contento,Fortuna Düsseldorf,Bundesliga,Germany,28,177,75
Oliver Fink,Fortuna Düsseldorf,Bundesliga,Germany,36,187,78
Nereo Champagne,R. Oviedo,LaLiga 1 I 2 I 3,Argentina,33,189,82
Jean Zimmer,Fortuna Düsseldorf,Bundesliga,Germany,24,171,74
Aarón Ñíguez Esclápez,R. Oviedo,LaLiga 1 I 2 I 3,Spain,29,170,72
Marco Caligiuri,SpVgg Greuther Fuerth,Bundesliga 2,Germany,34,180,75
Roberto Hilbert,SpVgg Greuther Fuerth,Bundesliga 2,Germany,33,183,80
Mario Maloca,SpVgg Greuther Fuerth,Bundesliga 2,Croatia,29,190,83
Bruno Eduardo Regufe Alves,Parma,Serie A TIM,Portugal,36,189,81
Luca Siligardi,Parma,Serie A TIM,Italy,30,180,72
Massimo Gobbi,Parma,Serie A TIM,Italy,37,182,76
Martin Männel,FC Erzgebirge Aue,Bundesliga 2,Germany,30,184,80
Yunis Abdelhamid,Stade de Reims,Ligue 1 Conforama,Morocco,31,190,83
Marvin Martin,Stade de Reims,Ligue 1 Conforama,France,30,171,68
Tristan Dingomé,Stade de Reims,Ligue 1 Conforama,France,27,174,69
Moussa Doumbia,Stade de Reims,Ligue 1 Conforama,Mali,24,170,64
Jorge Filipe Avelino Teixeira,Sint-Truidense VV,Belgium Pro League,Portugal,32,189,89
Lukasz Tralka,Lech Pozna?,Ekstraklasa,Poland,34,186,77
Maciej Makuszewski,Lech Pozna?,Ekstraklasa,Poland,29,176,70
Darko Jevtic,Lech Pozna?,Ekstraklasa,Switzerland,25,182,75
Kingsley Ehizibue,PEC Zwolle,Eredivisie,Holland,23,187,82
Diederik Boer,PEC Zwolle,Eredivisie,Holland,38,194,89
Olivier Deschacht,Sporting Lokeren,Belgium Pro League,Belgium,37,183,81
Waldemar Sobota,FC St. Pauli,Bundesliga 2,Poland,31,175,63
Enver Cenk Sahin,FC St. Pauli,Bundesliga 2,Turkey,24,179,70
Mats Møller Dæhli,FC St. Pauli,Bundesliga 2,Norway,23,177,71
Bengali-Fodé Koita,Kasimpa?a SK,Süper Lig,France,27,186,86
Abdul Khalili,Kasimpa?a SK,Süper Lig,Sweden,26,182,77
Loret Sadiku,Kasimpa?a SK,Süper Lig,Kosovo,27,185,70
Shusaku Nishikawa,Urawa Red Diamonds,Meiji Yasuda J1 League,Japan,32,183,81
Tomoaki Makino,Urawa Red Diamonds,Meiji Yasuda J1 League,Japan,31,182,77
Søren Rieks,Malmö FF,Allsvenskan,Denmark,31,185,75
Johan Dahlin,Malmö FF,Allsvenskan,Sweden,32,191,90
Guillermo Molins,Malmö FF,Allsvenskan,Sweden,30,186,83
Lasse Nielsen,Malmö FF,Allsvenskan,Denmark,30,185,74
Paul Coutts,Sheffield United,EFL Championship,Scotland,30,183,75
Mark Duffy,Sheffield United,EFL Championship,England,32,175,72
David McGoldrick,Sheffield United,EFL Championship,Republic of Ireland,30,183,74
Nick Powell,Wigan Athletic,EFL Championship,England,24,183,65
Joe Garner,Wigan Athletic,EFL Championship,England,30,178,73
Dan Burn,Wigan Athletic,EFL Championship,England,26,198,87
Arvydas Novikovas,Jagiellonia Bia?ystok,Ekstraklasa,Lithuania,27,179,76
Jake Cooper,Millwall,EFL Championship,England,23,193,85
Jed Wallace,Millwall,EFL Championship,England,24,178,70
James Meredith,Millwall,EFL Championship,Australia,30,179,73
Johan Larsson,Brøndby IF,Superliga,Sweden,28,181,75
Hjörtur Hermannsson,Brøndby IF,Superliga,Iceland,23,190,81
Marco Grüttner,SSV Jahn Regensburg,Bundesliga 2,Germany,32,185,84
Jaime Romero Gómez,Córdoba CF,LaLiga 1 I 2 I 3,Spain,28,176,77
Donis Avdijaj,Willem II,Eredivisie,Kosovo,22,172,70
Andrey Galabinov,La Spezia,Calcio B,Bulgaria,29,190,88
Kyle Beckerman,Real Salt Lake,Major League Soccer,United States,36,177,70
Nick Rimando,Real Salt Lake,Major League Soccer,United States,39,178,83
Ethan Finlay,Minnesota United FC,Major League Soccer,United States,28,175,75
Francisco Calvo,Minnesota United FC,Major League Soccer,Costa Rica,26,180,77
Rasmus Schüller,Minnesota United FC,Major League Soccer,Finland,27,177,67
Yasuhito Endo,Gamba Osaka,Meiji Yasuda J1 League,Japan,38,178,75
Ademilson Braga Bispo Júnior,Gamba Osaka,Meiji Yasuda J1 League,Brazil,24,176,74
Valerio Verre,Perugia,Calcio B,Italy,24,181,70
Norbert Gyömbér,Perugia,Calcio B,Slovakia,26,189,74
Ismaël Bennacer,Empoli,Serie A TIM,Algeria,20,173,64
Alejandro Rodríguez de Miguel,Empoli,Serie A TIM,Spain,27,183,80
Jasmin Fejzic,1. FC Magdeburg,Bundesliga 2,Bosnia and Herzegovina,32,198,95
Ricardo Noir,Atlético Tucumán,SAF,Argentina,31,174,69
Juan Mercier,Atlético Tucumán,SAF,Argentina,38,185,78
Jonathan Bottinelli,Unión de Santa Fe,SAF,Argentina,34,180,79
Yeimar Gómez Andrade,Unión de Santa Fe,SAF,Colombia,26,187,92
Rafael Carrascal,Deportes Tolima,Liga Dimayor,Colombia,25,173,75
Julián Quiñones,Deportes Tolima,Liga Dimayor,Colombia,28,195,86
Besart Berisha,Sanfrecce Hiroshima,Meiji Yasuda J1 League,Kosovo,33,183,80
Kosei Shibasaki,Sanfrecce Hiroshima,Meiji Yasuda J1 League,Japan,34,176,65
Jason Pearce,Charlton Athletic,EFL League One,England,30,185,71
Toshihiro Aoyama,Sanfrecce Hiroshima,Meiji Yasuda J1 League,Japan,32,174,75
Jörg Siebenhandl,SK Sturm Graz,Österreichische Fußball-Bundesliga,Austria,28,183,81
Stefan Hierländer,SK Sturm Graz,Österreichische Fußball-Bundesliga,Austria,27,180,73
Michael Madl,FK Austria Wien,Österreichische Fußball-Bundesliga,Austria,30,181,74
Ewandro Felipe de Lima Costa,FK Austria Wien,Österreichische Fußball-Bundesliga,Brazil,22,176,67
Babacar Sarr,Molde FK,Eliteserien,Senegal,27,189,81
Simon Lundevall,IF Elfsborg,Allsvenskan,Sweden,30,178,74
Kosuke Nakamura,Kashiwa Reysol,Meiji Yasuda J1 League,Japan,23,185,82
Crislan da Silva de Souza,Shimizu S-Pulse,Meiji Yasuda J1 League,Brazil,26,187,85
Adam Fraczczak,Pogo? Szczecin,Ekstraklasa,Poland,31,184,76
Raphael Rossi Branco,FC Sion,Raiffeisen Super League,Brazil,28,188,84
Adryan Oliveira Tavares,FC Sion,Raiffeisen Super League,Brazil,24,175,70
Nikola Ðurdic,Hammarby IF,Allsvenskan,Serbia,32,183,77
Johan Wiland,Hammarby IF,Allsvenskan,Sweden,37,188,78
